Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
82,Indiana,Big Ten (East),,3,9,0.30,-2.78,-2.49,41.11,13.76,8.98,6.22,5.01,3.05,6.79,4.46
83,Louisiana,Sun Belt (West),,6,7,3.66,-6.14,-2.49,42.39,17.62,8.68,6.30,5.93,2.80,7.11,4.29
84,Houston,Big 12,,4,8,-0.28,-2.25,-2.54,40.65,13.31,8.73,6.37,5.05,2.96,6.90,4.48
85,Boston College,ACC,,7,6,2.02,-4.57,-2.55,40.76,14.21,8.31,6.14,6.01,4.03,6.90,5.04
86,Arkansas State,Sun Belt (West),,6,7,-2.86,0.12,-2.74,37.69,16.57,9.00,6.45,5.21,3.56,6.87,4.92
87,Syracuse,ACC,,6,7,-7.33,4.40,-2.93,37.09,10.19,8.50,5.55,5.29,2.55,6.47,4.08
88,Georgia State,Sun Belt (East),,7,6,-0.35,-2.89,-3.24,38.89,16.21,8.61,6.78,5.85,3.10,6.92,4.97
89,Pitt,ACC,,3,9,-4.46,1.18,-3.28,37.34,10.19,9.05,6.12,4.65,2.02,6.77,3.76
90,Wake Forest,ACC,,4,8,-2.47,-0.85,-3.32,37.51,11.05,9.55,6.34,4.69,2.83,6.65,4.47
91,Virginia,ACC,,3,9,0.23,-4.01,-3.78,40.83,15.44,9.47,5.23,4.57,3.42,6.73,4.31
92,Army,Ind,,6,6,-8.22,4.29,-3.94,32.46,9.73,8.63,5.69,5.37,3.69,6.03,4.75
93,Rice,American,,6,7,1.10,-5.04,-3.94,42.54,15.69,8.70,6.24,4.98,3.26,6.88,4.62
94,Arizona State,Pac-12,,3,9,-6.01,2.03,-3.98,34.88,11.55,7.73,5.35,4.90,3.06,6.35,4.08
95,Old Dominion,Sun Belt (East),,6,7,-2.68,-1.70,-4.37,34.87,12.93,8.26,5.64,5.14,2.30,6.42,3.90
96,Stanford,Pac-12,,3,9,-3.03,-1.73,-4.76,37.48,16.34,8.66,5.90,4.76,3.47,6.71,4.50
97,Baylor,Big 12,,3,9,0.09,-4.95,-4.86,40.17,15.65,8.87,6.90,4.54,3.58,6.68,5.04
98,South Florida,American,,7,6,2.65,-7.57,-4.92,43.65,20.78,8.98,7.01,5.06,3.25,6.74,5.16
99,Middle Tennessee State,CUSA,,4,8,-3.45,-2.15,-5.60,36.73,15.96,8.91,5.18,4.59,3.37,6.81,4.33
100,Georgia Southern,Sun Belt (East),,6,7,1.08,-6.80,-5.71,41.94,19.51,8.14,6.61,5.21,3.58,6.87,5.05
101,Navy,American,,5,7,-9.97,4.15,-5.82,29.26,9.07,7.53,6.31,5.12,2.61,5.82,4.47
102,Marshall,Sun Belt (East),,6,7,-2.58,-3.33,-5.91,36.39,15.33,8.27,5.49,5.07,3.20,6.52,4.34
103,Utah State,MWC,,6,7,6.08,-12.06,-5.97,46.27,24.64,8.88,5.50,5.89,4.14,7.19,4.89
104,Cincinnati,Big 12,,3,9,-3.17,-2.85,-6.01,39.94,13.96,8.41,6.25,6.20,4.22,7.10,5.19
105,Northern Illinois,MAC (West),,7,6,-4.45,-2.53,-6.97,34.28,14.22,7.51,5.83,5.80,3.51,6.50,4.64
106,Florida Atlantic,American,,4,8,-5.00,-2.01,-7.01,36.08,14.18,7.54,6.24,4.87,2.95,6.21,4.52
107,North Texas,American,,5,7,5.94,-13.11,-7.17,44.83,25.20,9.04,6.84,5.96,4.96,7.49,5.60
108,Colorado State,MWC,,5,7,-1.39,-5.96,-7.35,36.97,17.28,8.62,6.04,4.07,3.49,6.70,4.69
109,Tulsa,American,,4,8,-4.15,-4.08,-8.23,36.63,20.54,8.69,7.48,5.09,3.80,6.52,5.50
110,Southern Mississippi,Sun Belt (West),,3,9,-2.25,-6.31,-8.56,36.65,22.69,7.78,7.57,5.37,3.88,6.38,5.54
111,San Diego State,MWC,,4,8,-6.88,-1.73,-8.61,32.32,13.84,7.95,5.87,5.14,4.06,6.26,5.08
112,Vanderbilt,SEC (East),,2,10,-1.83,-7.38,-9.20,40.34,18.30,8.55,5.61,4.64,3.91,6.65,4.85
113,East Carolina,American,,2,10,-9.50,0.24,-9.26,31.72,9.92,6.51,6.40,4.69,2.47,5.54,4.31
114,UAB,American,,4,8,1.64,-11.40,-9.75,41.18,23.06,9.17,6.05,5.53,4.15,7.32,5.01
115,Connecticut,Ind,,3,9,-9.56,-0.37,-9.92,30.52,15.76,7.25,6.81,5.12,3.09,6.06,4.90
116,New Mexico,MWC,,4,8,-2.62,-7.34,-9.97,38.01,22.54,8.57,7.51,5.97,4.13,7.09,5.61
117,Sam Houston,CUSA,,3,9,-7.14,-3.02,-10.17,31.04,15.16,7.42,5.93,3.55,3.70,5.58,4.84
118,Ball State,MAC (West),,4,8,-11.52,0.78,-10.74,28.98,13.43,6.40,5.84,5.25,2.59,5.65,4.25
119,Hawaii,MWC,,5,8,-4.80,-5.99,-10.79,33.81,20.27,8.01,6.78,3.74,3.56,6.26,4.97
120,UTEP,CUSA,,3,9,-7.52,-3.57,-11.10,31.31,15.96,9.29,5.46,4.60,4.73,6.60,4.94
121,Louisiana Tech,CUSA,,3,9,-1.82,-9.46,-11.28,37.45,22.18,8.91,5.59,4.58,4.76,6.79,5.04
122,Western Michigan,MAC (West),,4,8,-1.11,-10.35,-11.46,37.94,24.26,7.90,7.39,5.06,3.75,6.27,5.59
123,Buffalo,MAC (East),,3,9,-6.54,-5.78,-12.32,31.89,18.70,6.64,6.04,4.63,4.19,5.56,5.12
